,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),NMHC(GT),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),target
1,92.0,103.0,972.0,955.0,112.0,1292.0,1559.0,133.0,7255.0,94.0,477.0,2.0,26.0
2,114.0,131.0,1074.0,939.0,88.0,1402.0,1555.0,119.0,7502.0,90.0,540.0,22.0,2.0
3,122.0,172.0,1203.0,948.0,80.0,1376.0,1584.0,110.0,7867.0,92.0,600.0,22.0,22.0
4,116.0,131.0,1110.0,836.0,51.0,1272.0,1490.0,112.0,7888.0,65.0,596.0,16.0,22.0
5,96.0,89.0,949.0,750.0,38.0,1197.0,1393.0,112.0,7848.0,47.0,592.0,12.0,16.0
6,77.0,62.0,733.0,690.0,31.0,1185.0,1333.0,113.0,7603.0,36.0,568.0,12.0,12.0
7,76.0,62.0,730.0,672.0,31.0,1136.0,1333.0,107.0,7702.0,33.0,600.0,1.0,12.0
8,60.0,45.0,620.0,609.0,24.0,1094.0,1276.0,107.0,7648.0,23.0,597.0,9.0,1.0
9,-200.0,-200.0,501.0,561.0,19.0,1010.0,1235.0,103.0,7517.0,17.0,602.0,6.0,9.0
10,34.0,21.0,445.0,527.0,14.0,1011.0,1197.0,101.0,7465.0,13.0,605.0,-200.0,6.0
11,28.0,16.0,422.0,512.0,8.0,1066.0,1182.0,110.0,7366.0,11.0,562.0,7.0,-200.0
12,48.0,34.0,472.0,553.0,16.0,1052.0,1221.0,105.0,7353.0,16.0,581.0,7.0,7.0
13,82.0,98.0,730.0,667.0,29.0,1144.0,1339.0,102.0,7417.0,32.0,596.0,11.0,7.0
14,112.0,174.0,1102.0,900.0,64.0,1333.0,1517.0,108.0,7408.0,80.0,574.0,2.0,11.0
15,101.0,129.0,1028.0,960.0,87.0,1351.0,1583.0,105.0,7691.0,95.0,606.0,22.0,2.0
16,98.0,112.0,860.0,827.0,77.0,1233.0,1446.0,108.0,7552.0,63.0,584.0,17.0,22.0
17,92.0,95.0,671.0,762.0,43.0,1179.0,1362.0,105.0,7352.0,50.0,579.0,15.0,17.0
18,95.0,104.0,664.0,774.0,61.0,1236.0,1401.0,95.0,7951.0,52.0,668.0,16.0,15.0
19,112.0,146.0,799.0,869.0,63.0,1286.0,1537.0,83.0,8393.0,73.0,764.0,19.0,16.0
20,128.0,207.0,1037.0,1034.0,164.0,1371.0,1730.0,80.0,8736.0,115.0,811.0,29.0,19.0
