,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),toDrop
1,92,103,972,955,1292,1559,133,7255,94,477,2,0
2,114,131,1074,939,1402,1555,119,7502,90,540,22,0
3,122,172,1203,948,1376,1584,110,7867,92,600,22,0
4,116,131,1110,836,1272,1490,112,7888,65,596,16,0
5,96,89,949,750,1197,1393,112,7848,47,592,12,0
6,77,62,733,690,1185,1333,113,7603,36,568,12,0
7,76,62,730,672,1136,1333,107,7702,33,600,1,0
8,60,45,620,609,1094,1276,107,7648,23,597,9,0
9,-200,-200,501,561,1010,1235,103,7517,17,602,6,1
10,34,21,445,527,1011,1197,101,7465,13,605,-200,1
11,28,16,422,512,1066,1182,110,7366,11,562,7,0
12,48,34,472,553,1052,1221,105,7353,16,581,7,0
13,82,98,730,667,1144,1339,102,7417,32,596,11,0
14,112,174,1102,900,1333,1517,108,7408,80,574,2,0
15,101,129,1028,960,1351,1583,105,7691,95,606,22,0
16,98,112,860,827,1233,1446,108,7552,63,584,17,0
17,92,95,671,762,1179,1362,105,7352,50,579,15,0
18,95,104,664,774,1236,1401,95,7951,52,668,16,0
19,112,146,799,869,1286,1537,83,8393,73,764,19,0
20,128,207,1037,1034,1371,1730,80,8736,115,811,29,0
21,126,184,946,933,1310,1647,83,8778,88,798,22,0
22,131,193,957,912,1292,1591,97,8569,83,712,22,0
23,135,243,1104,1020,1383,1719,98,8185,112,676,29,0
24,151,281,1409,1319,1581,2083,103,8065,208,642,48,0
25,172,383,1704,1488,1776,2333,97,8319,274,693,69,0
26,165,351,1654,1404,1640,2191,96,8133,240,678,61,0
27,136,240,1285,1076,1313,1707,91,7419,128,640,39,0
28,85,94,821,749,965,1333,82,6905,47,634,15,0
29,53,47,552,629,913,1252,82,6657,26,608,1,0
30,97,122,816,805,1080,1375,83,6438,59,585,17,0
31,110,133,832,829,1044,1378,77,6308,64,597,19,0
32,91,82,692,718,988,1304,71,6276,41,618,14,0
33,-200,-200,512,574,889,1187,70,6261,19,623,8,1
34,32,21,384,506,831,1134,61,6248,11,659,-200,1
35,44,30,394,501,847,1155,63,6233,10,650,6,0
36,71,56,487,571,927,1223,68,6234,18,629,8,0
37,104,109,748,730,1091,1361,64,6316,44,651,14,0
38,141,307,1400,1236,1587,1900,73,6499,179,631,44,0
39,-200,-200,1588,1353,1545,2058,92,6561,221,562,-200,1
40,122,187,1237,1118,1350,1712,132,6320,140,417,31,0
41,143,216,1167,1037,1263,1598,143,6243,116,384,27,0
42,113,143,959,986,1206,1537,150,6195,102,365,21,0
43,116,160,983,1016,1252,1593,161,6262,110,345,25,0
44,123,163,1061,1078,1287,1660,163,6560,128,357,27,0
45,126,190,1139,1122,1353,1740,158,6610,142,370,29,0
46,120,178,1112,1073,1309,1657,159,6657,127,372,28,0
47,119,150,994,1041,1274,1610,169,6549,117,343,24,0
48,149,206,1410,1277,1510,1910,151,6766,193,396,39,0
49,145,202,1448,1246,1525,1847,144,7084,182,434,37,0
50,170,340,1887,1610,1843,2390,129,7478,326,505,66,0
51,149,274,1627,1299,1598,1941,121,7536,201,533,44,0
52,139,253,1491,1127,1484,1723,110,7740,143,591,35,0
53,134,300,1657,1346,1677,2062,97,7771,218,646,54,0
54,113,193,1285,964,1280,1544,95,7597,96,641,27,0
55,97,139,1144,873,1196,1463,91,7423,74,639,19,0
56,82,83,1043,782,1184,1365,88,7256,54,639,16,0
57,-200,-200,996,783,1172,1380,78,7173,54,675,17,1
58,83,109,992,821,1147,1412,70,7158,62,711,-200,1
59,65,62,819,625,978,1274,83,6982,26,636,1,0
60,60,53,835,646,1100,1268,72,6887,29,675,12,0
61,77,139,940,770,1112,1409,63,6932,51,719,15,0
62,96,256,1192,1043,1336,1678,65,6945,118,716,27,0
63,119,295,1411,1153,1408,1777,96,7124,151,597,37,0
64,126,250,1465,1081,1447,1667,124,7335,129,512,32,0
65,158,296,1583,1184,1542,1780,156,7451,161,422,41,0
66,161,239,1387,1117,1451,1679,184,7090,140,338,36,0
67,124,153,1101,1059,1328,1600,194,6950,123,313,28,0
68,102,118,850,924,1207,1488,180,7127,86,348,2,0
69,116,119,947,947,1240,1532,184,7042,92,336,2,0
70,124,138,1078,987,1306,1554,176,7012,102,351,25,0
71,125,148,1084,1000,1326,1602,167,7117,106,378,23,0
72,148,227,1395,1163,1473,1779,161,7451,155,410,32,0
73,165,277,1612,1286,1609,1922,158,7569,196,424,42,0
74,161,279,1697,1274,1611,1915,157,7786,192,441,42,0
75,159,283,1886,1247,1621,1860,153,8091,183,468,42,0
76,143,214,1624,1089,1444,1748,146,8060,131,486,31,0
77,130,172,1536,1010,1418,1603,147,8193,109,493,26,0
78,129,190,1535,1013,1534,1611,139,8498,110,536,29,0
79,119,174,1530,1045,1484,1624,146,8536,119,515,28,0
80,104,128,1337,925,1367,1543,125,8537,86,589,25,0
81,-200,-200,1278,968,1344,1620,116,8674,97,634,24,1
82,82,70,1051,773,1130,1452,121,8603,52,611,-200,1
83,70,53,929,691,1062,1377,115,8533,37,631,12,0
84,63,44,872,618,1076,1333,116,8473,25,622,1,0
85,67,74,853,615,1028,1340,104,8530,24,676,9,0
86,84,101,959,722,1155,1414,116,8530,42,627,14,0
87,83,118,1093,828,1235,1527,124,8627,64,600,16,0
88,98,144,1225,923,1332,1614,145,8728,86,531,22,0
89,114,176,1355,1009,1445,1696,169,8789,109,461,28,0
90,119,161,1262,1002,1416,1677,193,8474,107,383,28,0
91,104,113,980,880,1281,1525,212,7812,75,314,2,0
92,102,103,872,879,1207,1490,214,7616,75,302,18,0
93,107,112,900,906,1258,1511,219,7525,82,290,19,0
94,129,170,1099,1045,1458,1646,222,7516,119,284,3,0
95,128,180,1206,1051,1438,1668,213,7696,120,308,29,0
96,121,160,1262,1055,1478,1671,197,8307,122,367,25,0
97,157,261,1698,1312,1808,1993,184,8732,206,417,46,0
98,173,325,1905,1381,1898,2103,176,9210,231,461,59,0
99,146,217,1648,1140,1560,1818,167,9320,147,496,34,0
100,121,146,1423,940,1324,1587,163,9341,90,510,21,0
101,119,152,1349,933,1349,1617,147,9314,88,559,22,0
102,99,104,1250,872,1239,1547,148,9164,74,547,18,0
103,93,106,1174,853,1239,1543,140,9094,69,570,18,0
104,88,108,1149,855,1224,1566,134,9361,70,613,18,0
105,-200,-200,1021,734,1078,1487,126,9230,44,635,11,1
106,71,66,1013,711,1078,1468,123,9351,40,654,-200,1
107,74,88,1010,703,1075,1464,119,9375,39,674,1,0
108,80,138,1083,830,1157,1584,114,9475,64,705,14,0
109,89,228,1235,966,1314,1710,113,9401,97,702,22,0
110,114,360,1680,1451,1797,2323,124,9170,259,639,55,0
111,149,478,2184,1701,1961,2665,148,9076,367,543,81,0
112,157,394,1973,1470,1771,2262,174,8993,266,456,58,0
113,155,319,1798,1300,1564,2029,198,8801,201,385,42,0
114,134,201,1522,1120,1430,1783,220,8904,141,341,31,0
115,119,171,1404,1146,1417,1831,233,9096,149,322,29,0
116,111,159,1263,1162,1400,1829,239,8757,154,300,29,0
117,104,153,1137,1053,1317,1707,244,8736,121,289,25,0
118,99,143,1068,1033,1318,1675,244,8848,115,294,23,0
119,110,156,1252,1141,1445,1824,238,9137,148,313,28,0
120,162,314,1843,1601,1917,2447,225,9547,321,354,61,0
121,187,404,2122,1754,2040,2679,204,10086,392,425,8,0
122,165,320,1992,1573,1895,2443,183,10945,310,526,65,0
123,145,256,1707,1294,1595,2058,167,10786,199,574,42,0
124,125,193,1494,1159,1439,1856,157,10654,153,602,32,0
125,101,89,1164,852,1142,1547,153,10580,69,614,14,0
126,103,127,1272,1019,1304,1731,141,10494,111,657,21,0
127,88,79,1040,784,1074,1483,148,10148,54,606,12,0
128,61,43,867,640,968,1386,148,9879,28,592,8,0
129,-200,-200,826,608,929,1364,136,9636,23,621,7,1
130,59,59,840,626,941,1373,123,9450,26,662,-200,1
131,52,38,793,585,937,1348,128,9283,20,632,6,0
132,64,82,870,681,1017,1418,112,9081,35,685,9,0
133,70,99,930,770,1171,1467,110,8705,51,665,13,0
134,97,263,1407,1185,1541,1889,117,8719,162,637,34,0
135,95,229,1507,1287,1539,2055,136,8743,197,563,37,0
136,150,396,1843,1431,1735,2211,178,8672,251,429,53,0
137,162,314,1729,1297,1571,1973,214,8417,200,333,41,0
138,154,217,1583,1250,1452,1868,244,8231,183,274,33,0
139,161,252,1671,1359,1579,1998,253,8264,223,261,4,0
140,161,263,1491,1309,1466,1897,258,7589,204,232,38,0
141,128,180,1240,1136,1280,1675,270,7094,146,202,28,0
142,129,184,1313,1197,1407,1759,282,7014,166,186,29,0
143,133,190,1363,1173,1389,1739,280,7098,158,191,29,0
144,139,184,1296,1235,1447,1778,239,7519,178,257,34,0
145,137,181,1432,1271,1551,1875,213,8730,191,348,39,0
146,143,166,1432,1173,1474,1776,204,8704,158,367,32,0
147,177,317,2034,1426,1800,2106,190,9007,249,413,51,0
148,138,184,1602,1101,1379,1710,179,9342,135,459,26,0
149,117,130,1362,943,1201,1560,167,9226,91,489,17,0
150,107,132,1314,925,1205,1547,155,9271,86,529,17,0
151,90,95,1114,784,1072,1442,155,9059,54,519,12,0
152,79,70,992,714,998,1383,141,8910,41,556,9,0
153,-200,-200,884,625,933,1332,131,8666,26,579,7,1
154,60,54,808,577,883,1303,127,8447,19,579,-200,1
155,40,28,667,554,869,1268,118,8026,16,580,5,0
156,53,46,733,576,891,1289,119,7978,19,574,5,0
157,84,160,1052,878,1173,1556,99,7956,75,652,16,0
158,108,320,1534,1334,1587,1999,111,7958,214,602,41,0
159,127,377,1931,1696,1852,2535,141,8020,364,500,66,0
160,134,280,1734,1331,1522,2026,177,8048,213,401,43,0
161,135,221,1595,1161,1438,1782,211,8265,154,334,29,0
162,142,210,1490,1067,1393,1654,243,8471,125,283,25,0
163,153,204,1508,1152,1452,1747,256,8254,151,256,28,0
164,123,161,1334,1108,1389,1712,259,8503,137,259,26,0
165,104,135,1045,994,1207,1520,268,6500,104,187,2,0
166,129,186,1221,1154,1365,1679,293,6309,152,158,29,0
167,114,147,1069,1060,1247,1525,285,5708,123,149,25,0
168,158,299,1569,1478,1557,1981,259,5237,270,160,5,0
169,194,411,2306,1737,1973,2414,231,7403,384,265,76,0
170,182,347,2359,1667,1975,2416,205,9133,351,382,67,0
171,180,336,2050,1485,1795,2174,191,9294,272,426,57,0
172,136,202,1727,1150,1444,1727,172,8558,150,441,28,0
173,127,178,1705,1171,1488,1778,160,9206,157,509,26,0
174,116,154,1551,1083,1371,1669,148,9024,130,539,23,0
175,107,92,1240,904,1161,1502,143,8975,81,554,14,0
176,88,61,1115,787,1064,1407,148,8686,55,521,1,0
177,-200,-200,969,687,970,1351,139,8501,36,539,7,1
178,78,60,925,645,954,1334,116,8442,29,619,-200,1
179,57,37,828,623,931,1307,120,8233,25,589,6,0
180,71,68,893,650,938,1333,109,8113,30,621,7,0
181,85,139,1075,885,1166,1551,106,8067,77,633,15,0
182,124,339,1610,1384,1643,2094,115,8117,233,600,47,0
183,151,421,2051,1682,1934,2468,143,8186,358,506,66,0
184,150,349,1819,1333,1617,2010,178,8210,213,405,45,0
185,152,224,1568,1127,1473,1752,208,8365,143,344,28,0
186,139,171,1374,1068,1379,1663,238,8219,125,282,22,0
187,133,149,1268,1056,1385,1648,242,8515,122,287,22,0
188,126,137,1144,1087,1379,1660,252,7829,131,249,23,0
189,128,149,1109,1129,1322,1639,270,6275,144,178,22,0
190,169,172,1347,1205,1496,1767,271,8180,168,231,28,0
191,149,166,1206,1131,1409,1689,258,7832,145,239,27,0
192,156,214,1397,1338,1513,1957,230,7446,215,268,37,0
193,168,280,1588,1464,1667,2118,207,7523,264,311,51,0
194,176,276,1569,1453,1667,2051,186,7676,260,362,51,0
195,135,178,1322,1121,1430,1732,160,8768,141,484,32,0
196,121,129,1194,989,1333,1621,145,9456,103,578,21,0
197,99,95,1062,911,1262,1545,131,9606,83,642,17,0
198,106,126,1040,936,1287,1606,120,9735,89,697,2,0
199,96,103,917,840,1134,1501,119,9915,66,711,16,0
200,63,48,594,688,999,1380,125,10029,36,693,9,0
201,-200,-200,430,622,961,1301,125,9768,25,675,7,1
202,32,20,397,569,934,1280,123,9665,18,677,-200,1
203,28,18,370,525,913,1260,125,9620,13,668,5,0
204,61,56,438,607,969,1324,123,9487,23,663,7,0
205,99,115,704,845,1182,1539,124,9332,67,649,15,0
206,157,320,1476,1372,1740,2144,130,9209,228,616,48,0
207,166,357,1716,1582,1819,2456,136,9120,313,588,62,0
208,149,253,1398,1275,1427,1980,139,9032,192,571,4,0
209,135,218,1268,1191,1390,1879,145,8917,164,544,33,0
210,127,192,1188,1117,1283,1751,155,8744,140,501,28,0
211,122,176,1171,1157,1304,1801,161,8655,153,476,3,0
212,135,198,1250,1202,1364,1875,163,8640,167,471,33,0
213,139,212,1344,1268,1410,1957,164,8791,190,475,35,0
214,147,249,1378,1280,1476,1955,161,9094,194,502,4,0
215,158,270,1435,1320,1522,2005,160,9142,209,507,46,0
216,146,231,1372,1301,1442,1952,158,8989,202,503,41,0
217,144,251,1471,1344,1469,1997,155,8840,217,506,45,0
218,138,210,1439,1292,1467,1942,154,8956,198,514,39,0
219,143,249,1429,1202,1421,1854,152,9117,167,531,4,0
220,116,143,1081,945,1175,1604,147,9573,91,576,22,0
221,109,127,993,912,1215,1547,142,9380,83,583,21,0
222,92,104,837,802,1127,1447,138,9085,58,579,17,0
223,83,86,761,773,1090,1429,139,8842,52,559,16,0
224,81,74,650,718,1017,1382,139,8765,41,556,13,0
225,-200,-200,591,677,997,1359,138,8666,34,551,13,1
226,55,44,505,646,945,1332,138,8574,29,546,-200,1
227,53,42,518,661,956,1351,136,8560,31,551,8,0
228,67,63,571,622,966,1342,136,9129,25,590,8,0
229,91,115,842,728,1064,1461,135,8960,43,584,11,0
230,113,170,1145,935,1300,1623,138,9083,89,580,21,0
231,102,147,1218,998,1348,1689,146,8765,105,531,24,0
232,107,166,1341,1068,1425,1764,150,8881,125,523,26,0
233,113,195,1406,1061,1474,1768,154,9046,123,521,28,0
234,108,182,1422,1039,1490,1757,163,9158,117,500,26,0
235,105,168,1373,1040,1495,1735,171,9281,117,479,26,0
236,93,125,1153,953,1376,1636,190,9370,93,429,21,0
237,87,95,927,884,1305,1573,195,9476,76,423,17,0
238,76,79,766,844,1283,1539,195,9493,67,423,16,0
239,94,119,941,967,1392,1649,191,9556,97,438,21,0
240,110,142,1146,1063,1452,1774,185,9744,124,463,23,0
241,136,215,1417,1199,1633,1919,174,10159,166,516,35,0
242,139,229,1442,1191,1625,1885,171,9914,164,513,39,0
243,125,206,1323,1108,1535,1820,164,9964,137,538,33,0
244,111,147,1125,973,1323,1712,162,10132,99,554,23,0
245,97,122,1036,937,1309,1672,159,10356,89,577,21,0
246,107,175,1202,999,1456,1714,157,10396,106,586,28,0
247,90,133,1054,872,1300,1577,151,10398,74,609,21,0
248,84,89,903,823,1203,1526,156,9951,62,566,16,0
249,-200,-200,885,836,1195,1554,152,9941,65,579,16,1
250,87,85,818,802,1117,1539,154,10021,58,578,-200,1
251,66,55,700,711,1062,1461,149,10196,40,606,11,0
252,36,24,580,594,947,1390,145,10316,21,630,7,0
253,62,72,815,687,1065,1492,142,10630,36,662,8,0
254,91,122,1035,734,1155,1528,145,10704,44,653,12,0
