,NO2(GT),NOx(GT),PT08.S5(O3),PT08.S2(NMHC),NMHC(GT),PT08.S1(CO),PT08.S4(NO2),T,AH,C6H6(GT),RH,CO(GT),target
1,92,103,972,955,112,1292,1559,133,7255,94,477,2,26
2,114,131,1074,939,88,1402,1555,119,7502,90,540,22,2
3,122,172,1203,948,80,1376,1584,110,7867,92,600,22,22
4,116,131,1110,836,51,1272,1490,112,7888,65,596,16,22
5,96,89,949,750,38,1197,1393,112,7848,47,592,12,16
6,77,62,733,690,31,1185,1333,113,7603,36,568,12,12
7,76,62,730,672,31,1136,1333,107,7702,33,600,1,12
8,60,45,620,609,24,1094,1276,107,7648,23,597,9,1
9,0,0,501,561,19,1010,1235,103,7517,17,602,6,9
10,34,21,445,527,14,1011,1197,101,7465,13,605,0,6
11,28,16,422,512,8,1066,1182,110,7366,11,562,7,0
12,48,34,472,553,16,1052,1221,105,7353,16,581,7,7
13,82,98,730,667,29,1144,1339,102,7417,32,596,11,7
14,112,174,1102,900,64,1333,1517,108,7408,80,574,2,11
15,101,129,1028,960,87,1351,1583,105,7691,95,606,22,2
16,98,112,860,827,77,1233,1446,108,7552,63,584,17,22
17,92,95,671,762,43,1179,1362,105,7352,50,579,15,17
18,95,104,664,774,61,1236,1401,95,7951,52,668,16,15
19,112,146,799,869,63,1286,1537,83,8393,73,764,19,16
20,128,207,1037,1034,164,1371,1730,80,8736,115,811,29,19
21,126,184,946,933,79,1310,1647,83,8778,88,798,22,29
22,131,193,957,912,95,1292,1591,97,8569,83,712,22,22
23,135,243,1104,1020,150,1383,1719,98,8185,112,676,29,22
24,151,281,1409,1319,307,1581,2083,103,8065,208,642,48,29
25,172,383,1704,1488,461,1776,2333,97,8319,274,693,69,48
26,165,351,1654,1404,401,1640,2191,96,8133,240,678,61,69
27,136,240,1285,1076,197,1313,1707,91,7419,128,640,39,61
28,85,94,821,749,61,965,1333,82,6905,47,634,15,39
29,53,47,552,629,26,913,1252,82,6657,26,608,1,15
30,97,122,816,805,55,1080,1375,83,6438,59,585,17,1
31,110,133,832,829,53,1044,1378,77,6308,64,597,19,17
32,91,82,692,718,40,988,1304,71,6276,41,618,14,19
33,0,0,512,574,21,889,1187,70,6261,19,623,8,14
34,32,21,384,506,10,831,1134,61,6248,11,659,0,8
35,44,30,394,501,7,847,1155,63,6233,10,650,6,0
36,71,56,487,571,17,927,1223,68,6234,18,629,8,6
37,104,109,748,730,33,1091,1361,64,6316,44,651,14,8
38,141,307,1400,1236,202,1587,1900,73,6499,179,631,44,14
39,0,0,1588,1353,0,1545,2058,92,6561,221,562,0,44
40,122,187,1237,1118,208,1350,1712,132,6320,140,417,31,0
41,143,216,1167,1037,166,1263,1598,143,6243,116,384,27,31
42,113,143,959,986,114,1206,1537,150,6195,102,365,21,27
43,116,160,983,1016,140,1252,1593,161,6262,110,345,25,21
44,123,163,1061,1078,169,1287,1660,163,6560,128,357,27,25
45,126,190,1139,1122,185,1353,1740,158,6610,142,370,29,27
46,120,178,1112,1073,165,1309,1657,159,6657,127,372,28,29
47,119,150,994,1041,133,1274,1610,169,6549,117,343,24,28
48,149,206,1410,1277,233,1510,1910,151,6766,193,396,39,24
49,145,202,1448,1246,242,1525,1847,144,7084,182,434,37,39
50,170,340,1887,1610,488,1843,2390,129,7478,326,505,66,37
51,149,274,1627,1299,333,1598,1941,121,7536,201,533,44,66
52,139,253,1491,1127,215,1484,1723,110,7740,143,591,35,44
53,134,300,1657,1346,367,1677,2062,97,7771,218,646,54,35
54,113,193,1285,964,122,1280,1544,95,7597,96,641,27,54
55,97,139,1144,873,67,1196,1463,91,7423,74,639,19,27
56,82,83,1043,782,43,1184,1365,88,7256,54,639,16,19
57,0,0,996,783,46,1172,1380,78,7173,54,675,17,16
58,83,109,992,821,56,1147,1412,70,7158,62,711,0,17
59,65,62,819,625,30,978,1274,83,6982,26,636,1,0
60,60,53,835,646,27,1100,1268,72,6887,29,675,12,1
61,77,139,940,770,47,1112,1409,63,6932,51,719,15,12
62,96,256,1192,1043,132,1336,1678,65,6945,118,716,27,15
63,119,295,1411,1153,239,1408,1777,96,7124,151,597,37,27
64,126,250,1465,1081,160,1447,1667,124,7335,129,512,32,37
65,158,296,1583,1184,283,1542,1780,156,7451,161,422,41,32
66,161,239,1387,1117,210,1451,1679,184,7090,140,338,36,41
67,124,153,1101,1059,154,1328,1600,194,6950,123,313,28,36
68,102,118,850,924,112,1207,1488,180,7127,86,348,2,28
69,116,119,947,947,108,1240,1532,184,7042,92,336,2,2
70,124,138,1078,987,111,1306,1554,176,7012,102,351,25,2
71,125,148,1084,1000,97,1326,1602,167,7117,106,378,23,25
72,148,227,1395,1163,191,1473,1779,161,7451,155,410,32,23
73,165,277,1612,1286,258,1609,1922,158,7569,196,424,42,32
74,161,279,1697,1274,284,1611,1915,157,7786,192,441,42,42
75,159,283,1886,1247,269,1621,1860,153,8091,183,468,42,42
76,143,214,1624,1089,180,1444,1748,146,8060,131,486,31,42
77,130,172,1536,1010,116,1418,1603,147,8193,109,493,26,31
78,129,190,1535,1013,93,1534,1611,139,8498,110,536,29,26
79,119,174,1530,1045,131,1484,1624,146,8536,119,515,28,29
80,104,128,1337,925,92,1367,1543,125,8537,86,589,25,28
81,0,0,1278,968,132,1344,1620,116,8674,97,634,24,25
82,82,70,1051,773,56,1130,1452,121,8603,52,611,0,24
83,70,53,929,691,32,1062,1377,115,8533,37,631,12,0
84,63,44,872,618,29,1076,1333,116,8473,25,622,1,12
85,67,74,853,615,27,1028,1340,104,8530,24,676,9,1
86,84,101,959,722,36,1155,1414,116,8530,42,627,14,9
87,83,118,1093,828,57,1235,1527,124,8627,64,600,16,14
88,98,144,1225,923,129,1332,1614,145,8728,86,531,22,16
89,114,176,1355,1009,148,1445,1696,169,8789,109,461,28,22
90,119,161,1262,1002,145,1416,1677,193,8474,107,383,28,28
91,104,113,980,880,93,1281,1525,212,7812,75,314,2,28
92,102,103,872,879,84,1207,1490,214,7616,75,302,18,2
93,107,112,900,906,99,1258,1511,219,7525,82,290,19,18
94,129,170,1099,1045,150,1458,1646,222,7516,119,284,3,19
95,128,180,1206,1051,156,1438,1668,213,7696,120,308,29,3
96,121,160,1262,1055,122,1478,1671,197,8307,122,367,25,29
97,157,261,1698,1312,262,1808,1993,184,8732,206,417,46,25
98,173,325,1905,1381,341,1898,2103,176,9210,231,461,59,46
99,146,217,1648,1140,214,1560,1818,167,9320,147,496,34,59
100,121,146,1423,940,100,1324,1587,163,9341,90,510,21,34
101,119,152,1349,933,79,1349,1617,147,9314,88,559,22,21
102,99,104,1250,872,66,1239,1547,148,9164,74,547,18,22
103,93,106,1174,853,73,1239,1543,140,9094,69,570,18,18
104,88,108,1149,855,66,1224,1566,134,9361,70,613,18,18
105,0,0,1021,734,44,1078,1487,126,9230,44,635,11,18
106,71,66,1013,711,44,1078,1468,123,9351,40,654,0,11
107,74,88,1010,703,39,1075,1464,119,9375,39,674,1,0
108,80,138,1083,830,51,1157,1584,114,9475,64,705,14,1
109,89,228,1235,966,107,1314,1710,113,9401,97,702,22,14
110,114,360,1680,1451,336,1797,2323,124,9170,259,639,55,22
111,149,478,2184,1701,618,1961,2665,148,9076,367,543,81,55
112,157,394,1973,1470,438,1771,2262,174,8993,266,456,58,81
113,155,319,1798,1300,334,1564,2029,198,8801,201,385,42,58
114,134,201,1522,1120,221,1430,1783,220,8904,141,341,31,42
115,119,171,1404,1146,207,1417,1831,233,9096,149,322,29,31
116,111,159,1263,1162,191,1400,1829,239,8757,154,300,29,29
117,104,153,1137,1053,185,1317,1707,244,8736,121,289,25,29
118,99,143,1068,1033,141,1318,1675,244,8848,115,294,23,25
119,110,156,1252,1141,214,1445,1824,238,9137,148,313,28,23
120,162,314,1843,1601,471,1917,2447,225,9547,321,354,61,28
121,187,404,2122,1754,685,2040,2679,204,10086,392,425,8,61
122,165,320,1992,1573,538,1895,2443,183,10945,310,526,65,8
123,145,256,1707,1294,319,1595,2058,167,10786,199,574,42,65
124,125,193,1494,1159,224,1439,1856,157,10654,153,602,32,42
125,101,89,1164,852,67,1142,1547,153,10580,69,614,14,32
126,103,127,1272,1019,155,1304,1731,141,10494,111,657,21,14
127,88,79,1040,784,49,1074,1483,148,10148,54,606,12,21
128,61,43,867,640,29,968,1386,148,9879,28,592,8,12
